long_name,short_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_position,nationality_name,nation_position,skill_moves,international_reputation,work_rate,player_tags,shooting,passing,dribbling,defending,physic,attacking_crossing,skill_ball_control,movement_sprint_speed,movement_agility,movement_reactions,power_stamina,power_strength,mentality_aggression,goalkeeping_diving,goalkeeping_reflexes
Geoffry Hairemans,G. Hairemans,"RM, CAM, CM",70,70,1600000,9000,29,183,64,KV Mechelen,Belgian Jupiler Pro League,RM,Belgium,,3,1,High/Medium,,68,75,70,47,67,76,74,41,61,68,73,69,61,8,10
Carlos Emilio Lampe Porras,C. Lampe,GK,70,70,275000,7000,34,192,85,Vélez Sarsfield,Argentina Primera División,SUB,Bolivia,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,14,30,37,39,63,25,70,40,67,70
Benjamin Leroy,B. Leroy,GK,70,70,800000,3000,32,184,74,AC Ajaccio,French Ligue 2,GK,France,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,12,18,39,37,67,28,40,25,69,69
Jacopo Sala,J. Sala,"RB, RM, LB",70,70,1400000,10000,29,181,75,Spezia,Italian Serie A,SUB,Italy,,3,1,High/Medium,,60,68,69,68,69,70,72,70,68,68,66,68,74,10,5
Denis Alibec,D. Alibec,ST,70,70,1600000,9000,30,187,88,CFR Cluj,Romanian Liga I,SUB,Romania,ST,3,1,Medium/Low,,72,65,70,40,81,59,73,67,64,64,70,85,86,16,8
Eric Larsson,E. Larsson,RB,70,70,1400000,5000,29,176,72,Malmö FF,Swedish Allsvenskan,RB,Sweden,,2,1,High/Medium,,54,66,65,64,79,71,63,69,74,66,90,72,83,16,11
Mark Gillespie,M. Gillespie,GK,70,72,1300000,16000,29,192,83,Newcastle United,English Premier League,RES,England,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,13,29,35,37,59,39,66,23,72,73
Greg Cunningham,G. Cunningham,"LWB, LB",70,70,1400000,17000,30,183,70,Preston North End,English League Championship,LWB,Republic of Ireland,,3,1,Medium/High,,54,64,68,68,73,70,68,65,71,66,69,72,82,16,7
Jordi Amat Maas,Jordi Amat,"CB, CDM",70,70,1300000,7000,29,184,83,KAS Eupen,Belgian Jupiler Pro League,CB,Spain,,2,2,Low/High,,48,53,56,69,76,31,60,65,59,65,68,77,81,9,8
Alexander Kačaniklić,A. Kačaniklić,"RW, RM",70,70,1600000,700,29,181,72,Hajduk Split,Croatian Prva HNL,RES,Sweden,,3,1,Low/Low,,67,67,70,41,58,67,68,75,77,69,76,58,43,16,15
Gonzalo Pablo Castellani,G. Castellani,"CAM, CM, CDM",70,70,1000000,2000,33,183,75,Unión La Calera,Chilian Campeonato Nacional,RDM,Argentina,,4,1,Medium/Medium,,66,73,72,60,76,67,73,66,69,68,70,80,80,12,11
Anthony Ujah,A. Ujah,ST,70,70,1600000,18000,30,180,81,1. FC Union Berlin,German 1. Bundesliga,RES,Nigeria,,3,2,Medium/Medium,,70,54,68,33,67,48,65,64,66,70,54,75,58,10,7
Luis Ángel Mendoza Escamilla,L. Mendoza,"RM, ST",70,70,1300000,30000,31,173,72,Cruz Azul,Mexican Liga MX,SUB,Mexico,,3,1,High/Low,,62,64,71,41,69,70,70,83,76,67,71,70,66,11,13
Nikola Đurđić,N. Đurđić,"ST, CAM",70,70,675000,2000,35,184,77,Degerfors IF,Swedish Allsvenskan,SUB,Serbia,,3,1,Medium/High,,69,63,68,48,74,59,68,67,71,78,68,74,81,11,6
Raúl Rodríguez Navas,Raúl Navas,CB,70,70,750000,6000,33,186,84,Unión Deportiva Las Palmas,Spanish Segunda División,LCB,Spain,,2,1,Medium/Medium,,45,54,46,70,63,46,68,34,51,60,29,75,73,10,10
Saliou Ciss,S. Ciss,LB,70,70,1100000,5000,32,174,72,AS Nancy Lorraine,French Ligue 2,LB,Senegal,,3,1,Medium/Medium,,62,62,67,65,79,67,65,80,74,68,76,80,83,13,14
Andy Aryel Najar Rodríguez,A. Najar,RB,70,70,1400000,5000,28,170,69,D.C. United,USA Major League Soccer,RCB,Honduras,,3,2,High/Medium,,62,67,72,70,63,70,73,74,73,63,47,67,69,12,16
Romain Amalfitano,R. Amalfitano,"CAM, CM, CDM",70,70,1300000,10000,31,173,68,Al Faisaly,Saudi Abdul L. Jameel League,RF,France,,3,1,Medium/High,,59,70,72,66,64,62,72,45,66,76,74,57,73,10,12
Vincent Pajot,V. Pajot,"CM, CDM",70,70,1500000,11000,30,180,70,FC Metz,French Ligue 1,SUB,France,,2,1,Medium/Medium,,58,70,69,70,69,65,70,45,66,71,67,65,80,9,11
Nicolas Isimat-Mirin,N. Isimat-Mirin,CB,70,70,1300000,5000,29,187,78,Sporting Kansas City,USA Major League Soccer,SUB,France,,2,1,Medium/Medium,,34,53,47,69,74,47,53,46,57,62,55,84,73,14,15
Isaac Cofie,I. Cofie,"CDM, CM",70,70,1400000,10000,29,184,75,Demir Grup Sivasspor,Turkish Süper Lig,CDM,Ghana,,3,1,Medium/Medium,,58,63,64,70,74,62,64,66,69,71,76,72,75,8,15
Amir Abrashi,A. Abrashi,"CDM, CM",70,70,1100000,7000,31,172,74,Grasshopper Club Zürich,Swiss Super League,LCM,Albania,,2,1,Medium/High,,50,56,61,68,76,47,62,53,78,67,81,68,89,16,12
Timo Beermann,T. Beermann,CB,70,70,1300000,3000,30,188,85,VfL Osnabrück,German 3. Bundesliga,SUB,Germany,,2,1,Low/High,,39,48,43,71,75,44,41,39,59,64,56,79,88,16,16
Matías Aguirregaray Guruceaga,M. Aguirregaray,"RB, LB",70,70,1100000,7000,32,174,78,Estudiantes de La Plata,Argentina Primera División,SUB,Uruguay,,3,1,High/Low,,53,65,70,66,75,70,71,72,68,65,74,74,79,11,9
Harun Tekin,H. Tekin,GK,70,70,800000,7000,32,183,75,Kasimpaşa SK,Turkish Süper Lig,GK,Turkey,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,14,23,37,34,65,20,51,26,67,74
Alejandro Gálvez Jimena,Gálvez,CB,70,70,1000000,5000,32,188,79,UD Ibiza,Spanish Segunda División,SUB,Spain,,2,2,Medium/Medium,,40,60,57,69,78,39,64,35,44,61,74,81,82,8,9
Joffrey Cuffaut,J. Cuffaut,"CB, RB, RWB",70,70,750000,4000,33,180,74,Valenciennes FC,French Ligue 2,LCB,France,,3,1,High/Medium,,58,64,61,70,78,69,62,67,75,70,88,74,71,9,7
Aridai Cabrera Suárez,Aridai,"RM, RW",70,70,1300000,1000,32,168,73,Odisha FC,Indian Super League,ST,Spain,,3,1,Medium/Medium,#Acrobat,69,59,77,26,59,60,72,80,93,69,60,60,50,11,8
Francisco Manuel Vélez Jiménez,Fran Vélez,"CB, CDM",70,70,1300000,500,30,182,79,Panathinaikos FC,Greek Super League,RCB,Spain,,2,1,Medium/Medium,,35,63,63,68,78,58,66,52,71,66,73,82,73,15,12
Josué Filipe Soares Pesqueira,Josué,"CAM, RM",70,70,1500000,6000,30,174,68,Legia Warszawa,Polish T-Mobile Ekstraklasa,SUB,Portugal,,4,1,Low/Low,,71,73,70,52,59,72,73,49,62,66,53,53,85,15,10
Pedro Manuel da Silva Moreira,Pedro Moreira,"CDM, CM",70,70,1100000,5000,32,182,76,FC Arouca,Portuguese Liga ZON SAGRES,LDM,Portugal,,3,1,Medium/Medium,,64,64,66,66,72,50,70,38,61,69,76,70,74,14,12
Emre Çolak,E. Çolak,"CAM, CM, LM",70,70,1500000,9000,30,169,67,Atakaş Hatayspor,Turkish Süper Lig,SUB,Turkey,,4,2,Medium/Medium,,67,73,73,48,49,73,71,65,78,68,66,41,52,7,7
Jamie Paterson,J. Paterson,"CAM, CM",70,70,1600000,17000,29,175,68,Swansea City,English League Championship,LCM,England,,3,1,High/Medium,,65,68,72,39,50,69,70,73,83,68,70,48,27,14,7
Atınç Nukan,A. Nukan,CB,70,72,1700000,8000,27,196,86,Göztepe SK,Turkish Süper Lig,LCB,Turkey,,2,1,Medium/Medium,"#Aerial Threat, #Strength",37,54,51,70,78,43,59,44,33,66,63,91,68,13,11
Santiago García,S. García,"CB, LB",70,70,1000000,2000,32,191,88,Unión La Calera,Chilian Campeonato Nacional,SUB,Argentina,,2,1,Medium/Medium,,52,62,63,71,74,68,67,67,63,73,75,77,66,16,9
Barry James Douglas,B. Douglas,LB,70,70,1200000,6000,31,177,70,Lech Poznań,Polish T-Mobile Ekstraklasa,LB,Scotland,,3,1,Medium/Medium,,64,72,67,68,63,75,70,65,70,67,66,59,70,11,12
Douglas Da Silva Vieira,Douglas Vieira,"ST, CF",70,70,1000000,7000,33,189,82,Sanfrecce Hiroshima,Japanese J. League Division 1,SUB,Brazil,,3,1,Medium/Medium,,70,62,65,28,79,64,68,57,66,64,74,88,68,13,15
이용 李镕,Lee Yong,RB,70,70,575000,6000,34,180,76,Jeonbuk Hyundai Motors,Korean K League 1,RB,Korea Republic,,2,2,Medium/Medium,,52,66,64,66,71,79,63,70,80,65,68,69,77,16,15
Ryan Leonard,R. Leonard,"CDM, CM",70,70,1400000,9000,29,185,82,Millwall,English League Championship,SUB,England,,3,1,High/High,,65,65,67,67,78,61,64,81,78,70,84,79,66,10,13
Tolga Ciğerci,T. Ciğerci,"CM, CDM, LM",70,70,1600000,20000,29,185,85,İstanbul Başakşehir FK,Turkish Süper Lig,CDM,Turkey,,3,2,High/High,#Engine,65,69,69,69,79,67,71,67,66,65,89,77,72,12,12
Christoph Knasmüllner,C. Knasmüllner,"CAM, ST",70,70,1600000,17000,29,181,70,SK Rapid Wien,Austrian Football Bundesliga,SUB,Austria,,3,1,Medium/Low,,65,69,71,42,66,64,73,81,78,69,81,61,55,6,9
André Renato Soares Martins,André Martins,"CM, CDM",70,70,1300000,6000,31,168,65,Legia Warszawa,Polish T-Mobile Ekstraklasa,RCM,Portugal,,3,1,Medium/Medium,#Acrobat,62,70,75,62,60,66,74,77,90,69,72,56,55,16,15
Dominik Kaiser,D. Kaiser,"CM, CAM, CDM",70,70,1300000,15000,32,171,69,Hannover 96,German 2. Bundesliga,SUB,Germany,,3,1,Medium/Medium,,66,70,71,57,68,67,72,62,76,68,78,62,70,14,10
Doneil Jor-Dee Ashley Henry,D. Henry,CB,70,71,1500000,4000,28,188,88,Suwon Samsung Bluewings,Korean K League 1,LCB,Canada,RCB,3,1,Medium/High,#Strength,44,50,52,68,84,43,55,65,57,62,69,92,80,8,15
Kasper Kusk Vangsgaard,K. Kusk,"RW, ST, RM",70,70,1600000,10000,29,180,67,Aalborg BK,Danish Superliga,SUB,Denmark,,3,1,Medium/Low,,64,70,71,38,65,70,71,75,78,66,76,63,55,6,11
김영권 金英权,Kim Young Gwon,CB,70,70,1100000,7000,31,186,74,Gamba Osaka,Japanese J. League Division 1,LCB,Korea Republic,,2,1,Medium/High,,45,62,58,71,78,45,62,71,60,67,85,77,72,16,13
Nemanja Nikolić,N. Nikolić,ST,70,70,NA,NA,33,180,76,,,,Hungary,SUB,3,1,Medium/Low,,70,60,67,31,67,55,70,66,65,71,63,73,57,13,10
Veton Berisha,V. Berisha,ST,70,71,1900000,4000,27,175,75,Viking FK,Norwegian Eliteserien,ST,Norway,,3,1,High/Medium,,69,63,70,36,84,60,70,81,75,67,88,83,81,13,9
김진현 金镇铉,Kim Jin Hyeon,GK,70,70,525000,4000,33,192,82,Cerezo Osaka,Japanese J. League Division 1,GK,Korea Republic,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,20,24,32,45,65,33,50,14,70,71
Erik Morán Arribas,Erik Morán,"CDM, CM",70,70,1300000,5000,30,187,74,SD Ponferradina,Spanish Segunda División,LDM,Spain,,2,1,Medium/Medium,,47,66,66,67,73,56,70,46,63,64,70,75,73,13,10
Abdul Rahman Khalili,A. Khalili,CM,70,70,1600000,4000,29,180,76,Hammarby IF,Swedish Allsvenskan,SUB,Sweden,,3,1,Medium/Medium,,66,69,72,64,70,63,74,68,73,69,77,70,63,14,7
Charles Kwabena Sapong,C. Sapong,"ST, LM",70,70,1300000,6000,32,185,84,Nashville SC,USA Major League Soccer,RS,United States,,3,1,Medium/Medium,,68,60,67,40,81,60,67,72,68,66,75,85,77,6,10
Ziya Erdal,Z. Erdal,LB,70,70,825000,10000,33,182,73,Demir Grup Sivasspor,Turkish Süper Lig,SUB,Turkey,,2,1,Medium/Medium,,51,59,62,68,74,74,62,64,66,71,76,71,79,16,11
Luděk Pernica,L. Pernica,CB,70,70,1100000,600,31,188,86,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,SUB,Czech Republic,,2,1,High/Medium,,38,54,54,70,75,38,55,65,67,69,68,80,73,8,10
Álvaro Rey Vázquez,Álvaro Rey,"RW, LW",70,70,1300000,800,31,183,78,Club Bolívar,Liga de Fútbol Profesional Boliviano,SUB,Spain,,3,1,Medium/Medium,,66,66,72,45,65,71,71,77,72,58,64,68,58,7,9
Leigh Griffiths,L. Griffiths,ST,70,70,1600000,29000,30,174,77,Dundee FC,Scottish Premiership,SUB,Scotland,,3,1,High/Medium,,74,63,69,24,62,68,68,68,74,64,53,60,71,15,10
Adam Jake Taggart,A. Taggart,ST,70,70,1600000,6000,28,183,69,Cerezo Osaka,Japanese J. League Division 1,RS,Australia,ST,3,1,High/Medium,,70,62,70,38,69,59,74,83,82,66,76,72,55,16,14
Nahki Wells,N. Wells,"ST, LM, LW",70,70,1300000,20000,31,170,69,Bristol City,English League Championship,SUB,Bermuda,,3,1,High/Medium,,70,63,70,44,62,60,70,73,78,71,69,55,68,10,7
Sean McDermott,S. McDermott,GK,70,73,1500000,2000,28,185,83,Kristiansund BK,Norwegian Eliteserien,GK,Republic of Ireland,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,15,15,45,54,67,18,62,37,70,73
Benjamin Kevin Siegrist,B. Siegrist,GK,70,71,1200000,4000,29,194,85,Dundee United,Scottish Premiership,RES,Switzerland,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,11,20,33,33,66,40,69,38,70,69
Christoffer Åke Sven Nyman,C. Nyman,ST,70,70,1600000,5000,28,185,82,IFK Norrköping,Swedish Allsvenskan,ST,Sweden,,3,1,High/High,,69,58,66,34,81,51,64,83,70,71,82,80,81,9,12
신진호 申振豪,Sin Jin Ho,"CDM, CM",70,70,1100000,5000,32,177,72,Pohang Steelers,Korean K League 1,RDM,Korea Republic,,3,1,High/High,,64,72,69,63,74,70,72,56,63,69,83,72,70,15,11
Héber Araújo dos Santos,Héber,ST,70,70,1600000,6000,29,180,72,New York City FC,USA Major League Soccer,SUB,Brazil,,3,1,Medium/Low,,70,55,65,32,69,46,69,67,66,70,62,77,57,6,11
Britt Curtis Assombalonga,B. Assombalonga,ST,70,70,1600000,12000,28,177,79,Adana Demirspor,Turkish Süper Lig,LW,Congo DR,,3,1,Medium/Low,,69,58,67,35,73,58,67,75,68,67,66,81,62,8,7
Thiago Galhardo do Nascimento Rocha,Thiago Galhardo,"ST, CAM",70,70,1300000,14000,31,183,75,RC Celta de Vigo,Spain Primera Division,SUB,Brazil,,4,1,Medium/Medium,,74,47,67,24,52,35,67,64,53,69,56,58,29,5,11
Terence Kongolo,T. Kongolo,"CB, LB",70,73,1800000,26000,27,188,70,Fulham,English League Championship,SUB,Netherlands,,2,2,Medium/Medium,,43,60,65,70,71,66,66,66,65,65,61,75,70,8,12
Jasmin Ščuk,J. Ščuk,"CDM, CM",70,70,1300000,8000,30,184,71,Altay SK,Turkish Süper Lig,SUB,Bosnia and Herzegovina,,3,1,Medium/Medium,,62,67,69,68,68,62,71,61,69,68,73,67,66,6,14
Sonny Bradley,S. Bradley,CB,70,70,1300000,8000,29,196,90,Luton Town,English League Championship,SUB,England,,2,1,Medium/High,,31,47,51,69,76,36,56,55,61,66,69,81,75,13,9
Jón Guðni Fjóluson,J. Fjóluson,CB,70,70,1000000,4000,32,193,85,Hammarby IF,Swedish Allsvenskan,LCB,Iceland,SUB,2,1,Medium/Medium,#Strength,48,58,52,69,78,44,61,43,42,65,63,90,71,12,15
Michael Jeroen Maarten Michiel de Leeuw,M. de Leeuw,"ST, CAM",70,70,775000,7000,34,178,67,FC Groningen,Holland Eredivisie,ST,Netherlands,,3,1,Medium/High,,69,61,68,58,69,52,72,52,61,71,72,65,71,6,14
Tetchi Jores Charlemagne Ulrich Okore,J. Okore,CB,70,71,1500000,6000,28,180,80,Changchun Yatai FC,Chinese Super League,RCB,Denmark,,2,2,Medium/High,#Strength,42,52,57,66,86,33,58,73,60,59,79,91,80,9,15
Mickaël Barreto,M. Barreto,"RM, CAM, LM",70,70,1500000,4000,30,175,68,AC Ajaccio,French Ligue 2,RM,France,,3,1,High/Medium,,63,68,70,27,66,73,68,81,89,60,78,63,53,14,9
Kerim Frei Koyunlu,K. Frei,"RM, LM",70,70,1700000,9000,27,171,70,Fatih Karagümrük S.K.,Turkish Süper Lig,SUB,Turkey,,3,1,High/Low,,63,65,77,35,50,60,74,89,88,65,54,44,59,9,7
Saido Berahino,S. Berahino,"CAM, ST, LM",70,70,1700000,5000,27,180,82,Sheffield Wednesday,English League One,SUB,Burundi,,3,2,Medium/Low,,71,66,72,29,64,63,75,69,64,66,58,73,53,7,15
Julian Korb,J. Korb,"RB, RWB",70,70,1400000,13000,29,177,70,Holstein Kiel,German 2. Bundesliga,RB,Germany,,3,1,High/Medium,,48,65,72,66,62,71,72,68,77,69,60,58,71,12,12
José Élber Pimentel da Silva,Elber,"LM, RM",70,70,1600000,8000,29,170,70,Yokohama F. Marinos,Japanese J. League Division 1,RM,Brazil,,3,1,High/Medium,,64,64,73,25,51,65,73,83,83,62,66,44,44,8,16
Ibrahim Šehić,I. Šehić,GK,70,70,800000,8000,32,190,79,İttifak Holding Konyaspor,Turkish Süper Lig,GK,Bosnia and Herzegovina,,1,2,Medium/Medium,,NA,NA,NA,NA,NA,22,21,35,26,61,32,35,34,65,70
Fabio Lucioni,F. Lucioni,CB,70,70,750000,3000,33,185,80,Lecce,Italian Serie B,LCB,Italy,,2,1,Low/High,,33,47,51,71,71,35,55,40,55,72,59,74,75,16,6
Paweł Olkowski,P. Olkowski,"RWB, RB",70,70,1200000,8000,31,184,76,Gazişehir Gaziantep F.K.,Turkish Süper Lig,SUB,Poland,,3,1,Medium/Medium,,57,63,66,65,72,68,64,74,74,65,76,71,69,13,10
Diego Iván Rubio Kostner,D. Rubio,"ST, CAM",70,70,1600000,6000,28,180,77,Colorado Rapids,USA Major League Soccer,SUB,Chile,,3,1,High/Medium,,72,59,71,36,69,52,70,63,75,68,75,67,66,7,9
Yanick Brecher,Y. Brecher,GK,70,73,1500000,8000,28,196,88,FC Zürich,Swiss Super League,GK,Switzerland,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,12,22,42,37,68,24,67,19,70,73
Adrián Ortolá Vañó,Adrián Ortolá,GK,70,72,1500000,6000,27,187,74,Girona FC,Spanish Segunda División,SUB,Spain,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,19,28,52,54,63,43,54,20,69,73
Kal Naismith,K. Naismith,"LB, CB, RM",70,70,1400000,8000,29,185,78,Luton Town,English League Championship,LCB,Scotland,,3,1,High/Medium,,65,65,66,67,74,67,64,68,74,68,79,76,65,9,7
Phillipp Klement,P. Klement,"CAM, CM",70,70,1600000,15000,28,175,72,VfB Stuttgart,German 1. Bundesliga,SUB,Germany,,3,1,Medium/Medium,,66,75,73,40,53,76,72,51,79,67,66,45,53,16,10
Zlatko Tripić,Z. Tripić,"LW, LM",70,70,1600000,4000,28,182,74,Viking FK,Norwegian Eliteserien,LW,Norway,,3,1,High/Medium,,70,65,71,41,75,68,68,82,74,63,76,74,82,10,11
Marco Thiede,M. Thiede,"RB, RW",70,70,1400000,9000,29,178,75,Karlsruher SC,German 2. Bundesliga,RB,Germany,,2,1,Medium/Medium,,48,66,68,63,67,73,66,72,76,69,86,58,66,9,16
Luka Krajnc,L. Krajnc,"CB, LB",70,71,1600000,14000,26,187,86,Hannover 96,German 2. Bundesliga,SUB,Slovenia,,2,1,Medium/Medium,,32,53,60,69,76,58,64,62,59,63,65,85,69,8,10
Dave Bulthuis,D. Bulthuis,"CB, LB",70,70,1100000,6000,31,192,78,Ulsan Hyundai FC,Korean K League 1,LCB,Netherlands,,2,1,Medium/Medium,#Strength,37,52,43,69,84,50,55,53,32,56,73,90,83,15,16
Ryan Woods,R. Woods,"CDM, CM",70,72,1700000,12000,27,173,70,Birmingham City,English League Championship,RCM,England,,3,1,Low/High,,54,68,73,63,69,65,72,72,87,66,89,57,71,15,15
André Ivan Biyogo Poko,A. Poko,"CDM, CM, CAM",70,71,1500000,8000,28,173,72,Altay SK,Turkish Süper Lig,RCM,Gabon,,3,1,High/High,,57,61,70,68,77,58,68,73,72,71,85,70,87,14,11
Jacopo Dezi,J. Dezi,"CM, CAM",70,70,1600000,12000,29,178,68,Venezia FC,Italian Serie A,SUB,Italy,,3,1,High/Medium,,66,66,70,62,67,54,72,75,74,64,93,53,66,10,7
Kalifa Coulibaly,K. Coulibaly,ST,70,70,1600000,16000,29,197,87,FC Nantes,French Ligue 1,SUB,Mali,,2,1,Medium/High,#Strength,70,60,62,26,76,62,68,79,36,69,65,88,68,10,12
Benjamin Uphoff,B. Uphoff,GK,70,72,1500000,11000,27,192,84,Sport-Club Freiburg,German 1. Bundesliga,SUB,Germany,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,11,22,40,29,66,23,64,15,69,71
Yassine Benzia,Y. Benzia,"CAM, CM",70,71,1900000,4000,26,179,71,Dijon FCO,French Ligue 2,CAM,Algeria,,4,2,Medium/Medium,,68,70,73,45,60,66,70,64,77,67,55,59,62,6,9
Simon Augustin Falette,S. Falette,CB,70,70,1300000,8000,29,184,91,Atakaş Hatayspor,Turkish Süper Lig,LCB,Guinea,,2,1,Medium/High,#Strength,44,46,47,69,80,39,49,71,44,66,64,88,81,10,9
Christian Walton,C. Walton,GK,70,74,1700000,20000,25,195,72,Ipswich Town,English League One,SUB,England,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,13,22,33,32,66,28,38,20,71,72
Pelly-Ruddock Mpanzu,P. Mpanzu,"CM, CDM",70,71,1800000,9000,27,175,74,Luton Town,English League Championship,LCM,Congo DR,,3,1,Medium/Medium,,62,64,72,68,80,62,70,78,70,69,88,82,68,16,11
Matthew Pearson,M. Pearson,"CB, RB",70,71,1600000,6000,27,190,78,Huddersfield Town,English League Championship,RCB,England,,2,1,Medium/Medium,,43,50,55,70,76,52,55,61,57,67,70,81,71,15,15
Sergi Samper Montañá,Sergi Samper,"CDM, CM",70,73,1900000,6000,26,182,73,Vissel Kobe,Japanese J. League Division 1,CDM,Spain,,3,1,Medium/Medium,,43,66,66,66,68,55,71,33,59,67,73,72,55,12,6
Alfie Mawson,A. Mawson,CB,70,73,1800000,26000,27,189,90,Fulham,English League Championship,SUB,England,,2,1,Medium/High,,40,49,57,71,70,23,62,54,48,63,52,80,64,14,10
Zymer Bytyqi,Z. Bytyqi,"LW, RW, LM",70,73,2200000,10000,24,176,70,İttifak Holding Konyaspor,Turkish Süper Lig,LM,Kosovo,,4,1,Medium/Low,,67,67,71,34,69,72,72,79,79,63,68,71,64,13,10
Roberto Antonio Correa Silva,Rober Correa,RB,70,70,1400000,7000,28,180,71,SD Eibar,Spanish Segunda División,SUB,Spain,,2,1,Medium/Medium,,43,59,63,67,74,67,65,76,73,66,75,72,76,14,9
Philipp Kühn,P. Kühn,GK,70,70,1100000,3000,28,188,95,VfL Osnabrück,German 3. Bundesliga,GK,Germany,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,12,24,54,37,60,43,80,28,70,74
Andrés José Rodríguez Gaitán,Andy,"CDM, CM",70,70,1100000,5000,31,185,79,Burgos CF,Spanish Segunda División,LDM,Spain,,2,1,Medium/Medium,,66,71,68,66,71,65,71,55,65,63,80,70,68,16,16
Youssouf Yacoub M'Changama,Y. M'Changama,"CAM, CM",70,70,1500000,6000,30,175,70,En Avant de Guingamp,French Ligue 2,CAM,Comoros,,3,1,High/High,#Engine,61,69,73,63,73,61,71,84,88,68,91,66,68,10,11
Jimmy Giraudon,J. Giraudon,CB,70,70,1300000,10000,29,184,66,ESTAC Troyes,French Ligue 1,CB,France,,2,1,Medium/Medium,,36,58,58,71,72,49,65,45,59,62,76,70,72,8,10
Luis Carlos Cardozo Espillaga,L. Cardozo,"CB, RB",70,70,1000000,650,32,180,75,Club Libertad,Paraguayan Primera División,SUB,Paraguay,,2,1,Medium/Medium,,35,46,55,71,73,44,66,77,62,63,66,79,64,13,14
Bart van Hintum,B. van Hintum,"CB, LB",70,70,525000,6000,34,177,76,FC Groningen,Holland Eredivisie,LB,Netherlands,,2,1,High/Medium,,53,70,64,71,68,73,67,45,62,66,62,71,68,7,12
Gerso Fernandes,Gerso,"LW, RW",70,70,1500000,5000,30,173,64,Jeju United FC,Korean K League 1,LW,Guinea Bissau,,3,1,High/Medium,"#Speedster, #Acrobat",65,61,73,41,52,56,67,92,90,70,78,36,63,10,7
Alison Lopes Ferreira,Alison,CDM,70,70,1400000,12000,28,180,70,Al Hazem,Saudi Abdul L. Jameel League,LDM,Brazil,,2,1,Low/High,,49,56,62,71,75,46,64,60,59,65,73,72,82,12,15
Daniel Bachmann,D. Bachmann,GK,70,73,1600000,20000,26,191,81,Watford,English Premier League,GK,Austria,GK,1,1,Medium/Medium,,NA,NA,NA,NA,NA,14,27,37,40,74,36,75,31,69,71
José Juan Vázquez Gómez,J. Vázquez,"CM, CDM",70,70,975000,12000,33,166,64,Deportivo Toluca,Mexican Liga MX,LCM,Mexico,,2,1,Medium/Medium,,53,67,66,69,68,50,70,67,71,70,86,61,60,7,6
Birama Touré,B. Touré,"CDM, CM",70,70,1400000,5000,29,183,73,AJ Auxerre,French Ligue 2,CDM,Mali,,2,1,Low/High,,52,63,65,68,77,62,72,32,64,67,85,77,69,12,9
Joshua Brenet,J. Brenet,"LB, RB, RWB",70,70,1500000,16000,27,181,74,TSG Hoffenheim,German 1. Bundesliga,RES,Netherlands,,3,1,High/Medium,,36,61,69,67,66,67,67,77,69,65,64,66,70,16,9
Julian Jeanvier,J. Jeanvier,CB,70,70,1400000,23000,28,185,84,Brentford,English Premier League,RES,Guinea,,2,1,Medium/Medium,,35,49,54,69,73,39,58,72,66,69,64,77,75,16,9
Gergő Lovrencsics,G. Lovrencsics,RB,70,70,1100000,600,32,177,75,Hajduk Split,Croatian Prva HNL,RB,Hungary,SUB,3,1,High/Medium,,66,66,67,64,69,74,65,79,78,68,62,74,61,7,8
Emanuel Herrera,E. Herrera,ST,70,70,775000,9000,34,186,75,Argentinos Juniors,Argentina Primera División,SUB,Argentina,,3,1,Low/Low,,72,53,65,26,74,37,70,55,55,70,69,81,67,8,10
Luca Danilo Zuffi,L. Zuffi,"CDM, CAM, CM",70,70,1100000,13000,31,182,76,FC Sion,Swiss Super League,RCM,Switzerland,,3,1,Medium/Medium,,68,74,68,65,65,75,73,54,64,63,66,67,60,7,7
Luis Fernando Quintana Vega,L. Quintana,CB,70,70,1300000,8000,29,180,70,Club Necaxa,Mexican Liga MX,LCB,Mexico,,2,1,Medium/Medium,,42,53,62,70,77,40,64,47,64,63,76,80,70,8,11
Luka Đorđević,L. Đorđević,ST,70,71,1900000,8000,26,185,74,Vejle Boldklub,Danish Superliga,ST,Montenegro,,3,1,Medium/Low,,68,62,70,32,60,60,70,79,75,67,66,68,33,13,8
Riccardo Improta,R. Improta,"LM, LW, CM",70,70,1700000,10000,27,179,73,Benevento,Italian Serie B,SUB,Italy,,3,1,High/High,,62,62,72,55,56,67,70,82,82,66,76,51,46,11,12
Riccardo Fiamozzi,R. Fiamozzi,RB,70,70,1400000,3000,28,178,76,Empoli,Italian Serie A,SUB,Italy,,3,1,High/Medium,,49,62,65,63,77,66,63,87,80,67,89,76,62,14,15
